HOW TO READ: Spike = day where growth is 2× the 7-day average. Likely Post Drivers = posts published 1–5 days before. ⭐ = influencer collab. Reels follows unavailable from Instagram API.,,,,,
Date,Followers,Daily Change,7-Day Avg Change,Spike?,Likely Post Drivers (1–5 days prior)
2026-05-19,1706,0,—,No,—
2026-05-27,1718,+12,0.0,No,—
2026-06-02,1716,0,6.0,No,—
2026-06-03,1718,+2,4.0,No,—
2026-06-04,1719,+1,3.5,No,—
2026-06-05,1717,-2,3.0,No,—
2026-06-06,1718,+1,2.2,No,—
2026-06-07,1718,0,2.0,No,—
2026-06-08,1717,-1,2.0,No,—
2026-06-09,1718,+1,0.1,🔴 YES,—
2026-06-10,1716,-2,0.3,No,—
2026-06-11,1716,0,-0.3,No,—
2026-06-12,1716,0,-0.4,No,—
2026-06-13,1714,-2,-0.1,No,—
2026-06-14,1714,0,-0.6,No,—
2026-06-15,1714,0,-0.6,No,—
2026-06-16,1713,-1,-0.4,No,—
2026-06-17,1714,+1,-0.7,No,—
2026-06-18,1713,-1,-0.3,No,—
2026-06-19,1714,+1,-0.4,No,—
2026-06-20,1712,-2,-0.3,No,—
2026-06-21,1712,0,-0.3,No,—
2026-06-22,1714,+2,-0.3,No,—
2026-06-23,1713,-1,0.0,No,—
2026-06-24,1714,+1,0.0,No,—
2026-06-25,1714,0,0.0,No,—
2026-06-26,1714,0,0.1,No,—
2026-06-27,1716,+2,0.0,No,—
2026-06-28,1714,-2,0.6,No,—
2026-06-29,1714,0,0.3,No,—
2026-06-30,1713,-1,0.0,No,—
2026-07-01,1713,0,0.0,No,—
2026-07-02,1712,-1,-0.1,No,—
2026-07-03,1712,0,-0.3,No,—
2026-07-04,1714,+2,-0.3,No,—
